Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
61;Recording253;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
61;Recording253;3;2;4CH;YES;00:21,9;1.82;1.14;2.04;0;0;0;0;00:28,9;3;3;Offset on the data record (results might be less precise);7.0;71.429
61;Recording253;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
61;Recording253;3;4;4AV;YES;01:00,6;1.42;0.4;0.36;0;0;0;0;01:06,3;3;3;;5.7;38.246
61;Recording253;3;5;5CH;YES;01:17,2;0.34;0;0;0;0;0;0;01:17,6;1;1;;0.4;85.0
61;Recording253;3;6;2CH;YES;01:41,2;0.1;0;0;0;0;0;0;01:41,5;1;1;didn't see it in advance;0.3;33.333
61;Recording253;3;7;3CV;YES;02:00,2;4.441;0.4;0.46;0;0;0;0;02:08,3;1;3;;8.1;65.444
61;Recording253;3;8;1AV;NO;02:31,1;2.82;0.44;0;0;0;0;0;02:37,0;1;2;bad quality, hard to guess;5.9;55.254
61;Recording252;2;1;1CH;YES;00:10,2;3.261;0.8;0.48;0.2;0;0;0;00:18,3;3;4;good quality;8.1;58.531
61;Recording252;2;2;2AH;YES;00:36,3;1.26;2.44;0.54;0;0;0;0;00:43,0;3;3;;6.7;63.284
61;Recording252;2;3;4CV;YES;01:01,6;0.54;0.7;2.62;0;0;0;0;01:07,8;3;3;;6.2;62.258
61;Recording252;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
61;Recording252;2;5;3AV;YES;01:29,0;0.54;1.9;2.42;0.62;0.42;0;0;01:40,0;3;5;;11.0;53.636
61;Recording252;2;6;3AH;YES;01:52,1;1.88;1.06;1.94;0;0;0;0;01:58,0;3;3;;5.9;82.712
61;Recording252;2;7;2CV;YES;02:08,9;0.48;1;1.16;1.42;0.4;0.42;0;02:17,2;4;6;;8.3;58.795
61;Recording252;2;8;6AH;YES;02:28,6;0.56;1.24;0.06;0;0;0;0;02:32,1;3;3;;3.5;53.143
61;Recording251;1;1;1AH;YES;00:13,6;3.041;0.16;0;0;0;0;0;00:19,9;1;2;Offset on the data record (results might be less precise);6.3;50.81
61;Recording251;1;2;3CH;YES;00:40,1;0.44;1.62;0.28;0;0;0;0;00:44,8;3;3;;4.7;49.787
61;Recording251;1;3;2AV;YES;01:00,3;2.32;1.4;0.58;1.18;0.24;0.52;0;01:09,7;3;6;;9.4;66.383
61;Recording251;1;4;5CV;YES;01:30,1;0.56;0;0;0;0;0;0;01:31,3;1;1;;1.2;46.667
61;Recording251;1;5;1CV;YES;01:35,6;2.06;1;0.34;0.1;0;0;0;01:41,3;2;4;;5.7;61.404
61;Recording251;1;6;6AV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
61;Recording251;1;7;4AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
61;Recording251;1;8;6CH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
61;Recording249;3;1;6CV;YES;00:16,2;0.94;0;0;0;0;0;0;00:17,7;1;1;;1.5;62.667
61;Recording249;3;2;4CH;YES;00:21,8;1.22;0;0;0;0;0;0;00:23,2;1;1;;1.4;87.143
61;Recording249;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
61;Recording249;3;4;4AV;YES;00:50,6;4.491;0;0;0;0;0;0;00:56,3;1;1;;5.7;78.789
61;Recording249;3;5;5CH;YES;01:03,3;0.18;0;0;0;0;0;0;01:05,7;1;1;;2.4;7.5
61;Recording249;3;6;2CH;YES;01:22,8;0.38;0.7;0.06;0;0;0;0;01:29,0;3;3;;6.2;18.387
61;Recording249;3;7;3CV;YES;01:46,2;5.621;0;0;0;0;0;0;01:52,0;1;1;;5.8;96.914
61;Recording249;3;8;1AV;YES;02:15,3;1.48;1.12;0.28;0.14;1;0.2;2.4;02:26,5;2;7;Offset on the data record (results might be less precise);11.2;59.107
