Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
69;Recording287;2;1;1CH;YES;00:27,8;3.181;0;0;0;0;0;0;00:33,0;1;1;;5.2;61.173
69;Recording287;2;2;2AH;YES;00:56,7;1.3;0;0;0;0;0;0;00:59,2;1;1;;2.5;52.0
69;Recording287;2;3;4CV;YES;01:18,8;0.3;0.12;0;0;0;0;0;01:19,4;2;2;Not fixing on it at first (long fixation in the center) but, from the way he reacts, he saw it before;0.6;70.0
69;Recording287;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
69;Recording287;2;5;3AV;YES;01:42,4;4.321;0;0;0;0;0;0;01:47,5;1;1;;5.1;84.725
69;Recording287;2;6;3AH;YES;02:03,2;1.94;0.34;0.06;0.12;0.32;0.18;0.16;02:06,8;2;7;;3.6;86.667
69;Recording287;2;7;2CV;YES;02:19,0;1.5;0;0;0;0;0;0;02:21,5;1;1;;2.5;60.0
69;Recording287;2;8;6AH;YES;02:33,0;0.14;0.06;0;0;0;0;0;02:33,7;2;2;1 and 2 together;0.7;28.571
69;Recording286;3;1;6CV;YES;00:20,3;1.02;0;0;0;0;0;0;00:22,3;1;1;;2.0;51.0
69;Recording286;3;2;4CH;YES;00:25,4;1.56;0.06;0;0;0;0;0;00:27,4;2;2;;2.0;81.0
69;Recording286;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
69;Recording286;3;4;4AV;YES;00:53,7;3.161;1.6;0.2;0.08;0;0;0;00:59,3;4;4;;5.6;90.018
69;Recording286;3;5;5CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
69;Recording286;3;6;2CH;YES;01:22,5;0.98;1.46;0.34;0.08;0.14;0;0;01:24,7;5;5;;2.2;100
69;Recording286;3;7;3CV;YES;01:42,8;3.521;0;0;0;0;0;0;01:47,1;1;1;;4.3;81.884
69;Recording286;3;8;1AV;YES;02:15,0;1.52;0.36;0.14;0;0;0;0;02:19,1;3;3;;4.1;49.268
69;Recording285;1;1;1AH;YES;00:20,7;3.381;0.2;0.06;0.16;0;0;0;00:28,8;1;4;2 and 3 together, some offset;8.1;46.926
69;Recording285;1;2;3CH;YES;00:48,5;0.3;0.74;0.04;0;0;0;0;00:51,9;3;3;;3.4;31.765
69;Recording285;1;3;2AV;YES;01:08,5;0.32;3.041;0.64;0;0;0;0;01:14,4;2;3;;5.9;67.814
69;Recording285;1;4;5CV;YES;01:34,7;0.62;0.06;0;0;0;0;0;01:36,5;2;2;;1.8;37.778
69;Recording285;1;5;1CV;YES;01:51,6;2.981;0.22;0;0;0;0;0;01:57,6;1;2;;6.0;53.35
69;Recording285;1;6;6AV;YES;02:05,3;0.32;0.1;0;0;0;0;0;02:06,2;2;2;;0.9;46.667
69;Recording285;1;7;4AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;Saw the car at first, but not the guy;0.0;0
69;Recording285;1;8;6CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;Hard to see;0.0;0
69;Recording284;2;1;1CH;YES;00:23,2;0.84;0;0;0;0;0;0;00:25,0;1;1;;1.8;46.667
69;Recording284;2;2;2AH;YES;00:45,3;0.94;0.18;1.5;0;0;0;0;00:50,8;3;3;;5.5;47.636
69;Recording284;2;3;4CV;YES;01:06,6;5.841;0.2;0;0;0;0;0;01:12,8;2;2;;6.2;97.435
69;Recording284;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
69;Recording284;2;5;3AV;YES;01:37,3;0.54;1.56;0.56;0;0;0;0;01:41,6;3;3;;4.3;61.86
69;Recording284;2;6;3AH;YES;01:51,3;0.4;1.82;0.1;0.18;0;0;0;01:57,3;4;4;;6.0;41.667
69;Recording284;2;7;2CV;YES;02:04,0;0.44;0.58;0.74;1.36;0;0;0;02:09,2;4;4;;5.2;60.0
69;Recording284;2;8;6AH;YES;02:20,8;0.22;0.06;0;0;0;0;0;02:21,8;2;2;;1.0;28.0
