Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
64;Recording265;1;4;5CV;YES;01:47,8;0.82;0;0;0;0;0;0;01:49,2;1;1;;1.4;58.571
65;Recording270;1;4;5CV;YES;01:09,0;0.6;0.62;0;0;0;0;0;01:33,9;2;2;;24.9;4.9
65;Recording267;1;4;5CV;YES;01:36,5;0.26;0.22;0.64;0.08;0.6;0;0;01:44,0;5;5;;7.5;24.0
66;Recording273;1;4;5CV;YES;01:35,3;0.28;0;0;0;0;0;0;01:40,3;1;1;Looked long in advance, once;5.0;5.6
67;Recording276;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
68;Recording283;1;4;5CV;YES;01:42,0;0.16;0;0;0;0;0;0;01:45,9;1;1;;3.9;4.103
68;Recording280;1;4;5CV;YES;01:54,6;0.64;0.82;0.18;0.86;0.26;0.38;0;02:02,1;2;6;Checked a lot, maybe because French and has too let priority in this case;7.5;41.867
69;Recording285;1;4;5CV;YES;01:34,7;0.62;0.06;0;0;0;0;0;01:36,5;2;2;;1.8;37.778
70;Recording290;1;4;5CV;YES;01:26,9;0.46;0;0;0;0;0;0;01:29,9;1;1;;3.0;15.333
71;Recording295;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;Kind of look at it during a long fixation, but not specifically;0.0;0
71;Recording292;1;4;5CV;YES;02:00,3;0.28;0.74;0.06;0;0;0;0;02:07,2;3;3;;6.9;15.652
