Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
49;Recording199;3;3;5AH;YES;00:38,0;1.98;0;0;0;0;0;0;00:40,5;1;1;try to look after the bus;2.5;79.2
50;Recording204;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
51;Recording211;3;3;5AH;YES;00:51,2;0.46;0;0;0;0;0;0;00:52,8;1;1;look on  side of bus;1.6;28.75
52;Recording215;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
52;Recording212;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
53;Recording218;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
54;Recording221;3;3;5AH;YES;00:36,9;1.7;0.44;0.18;0;0;0;0;00:39,4;3;3;;2.5;92.8
55;Recording228;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
55;Recording224;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
56;Recording230;3;3;5AH;YES;00:39,5;3.321;0.64;0;0;0;0;0;00:43,9;2;2;Look along the bus and then after the bus;4.4;90.023
57;Recording234;1;3;5AH;YES;01:12,3;0.34;1.16;1.38;0;0;0;0;01:19,3;3;3;;7.0;41.143
58;Recording238;2;3;5AH;YES;01:08,4;0.76;0.52;0.58;1.489;0;0;0;01:13,8;4;4;;5.4;62.019
59;Recording242;2;3;5AH;YES;00:59,7;0.6;1.52;0.44;0;0;0;0;01:03,3;3;3;;3.6;71.111
60;Recording246;3;3;5AH;YES;00:42,2;2.36;0;0;0;0;0;0;00:44,9;1;1;;2.7;87.407
61;Recording253;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
61;Recording249;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
62;Recording255;3;3;5AH;YES;00:34,0;0.62;0.68;0;0;0;0;0;00:36,2;2;2;;2.2;59.091
63;Recording260;3;3;5AH;YES;00:33,9;1.42;0;0;0;0;0;0;00:35,6;1;1;;1.7;83.529
64;Recording266;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
64;Recording262;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
65;Recording269;3;3;5AH;YES;00:47,4;0.54;0.64;0.16;0.68;0.4;0.24;0.22;00:57,8;7;7;tries to look from far at the front of the bus and then a lot of short moves;10.4;27.692
66;Recording272;3;3;5AH;YES;00:43,9;1.02;0.16;0.22;0.12;0;0;0;00:45,8;4;4;;1.9;80.0
67;Recording279;3;3;5AH;YES;00:45,2;0.82;0;0;0;0;0;0;00:46,2;1;1;;1.0;82.0
67;Recording275;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
68;Recording281;3;3;5AH;YES;00:50,9;1.78;0;0;0;0;0;0;00:53,8;1;1;;2.9;61.379
69;Recording286;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
70;Recording291;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
70;Recording288;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
71;Recording294;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
