Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording009;3;8;1AV;YES;02:41,1;3.441;0.24;0.32;0;0;0;0;02:49,5;1;3;;8.4;47.631
2;Recording005;3;8;1AV;YES;02:52,5;1.76;0.68;0.8;0.44;0.54;0.32;0;03:03,4;2;6;No events ;10.9;41.651
4;Recording014;3;8;1AV;YES;02:18,5;0.98;2.06;0.46;0.52;0.56;0;0;02:27,6;3;5;;9.1;50.33
4;Recording011;3;8;1AV;YES;02:23,7;2.46;0.3;0.24;0;0;0;0;02:33,0;1;3;;9.3;32.258
5;Recording016;3;8;1AV;YES;02:09,8;1.66;0.24;1.2;0.38;0.46;0.24;0;02:21,1;3;6;Bad quality (results are approximative);11.3;36.991
6;Recording033;3;8;1AV;YES;02:40,5;1.7;1.96;1.16;0.4;0;0;0;02:49,5;2;4;;9.0;58.0
6;Recording030;3;8;1AV;YES;02:52,6;1.62;2.14;0.34;0.4;0.26;0.5;0;03:06,2;1;6;;13.6;38.676
7;Recording036;3;8;1AV;YES;02:39,6;1.72;1.3;0;0;0;0;0;02:44,9;2;2;;5.3;56.981
8;Recording039;3;8;1AV;YES;02:20,7;0.26;1.7;1.521;0;0;0;0;02:27,2;2;3;;6.5;53.554
9;Recording044;3;8;1AV;YES;02:38,0;0.2;1.4;1.06;0;0;0;0;02:42,6;3;3;;4.6;57.826
11;Recording048;3;8;1AV;YES;02:36,9;2.209;2.58;0;0;0;0;0;02:43,7;2;2;;6.8;70.426
12;Recording054;3;8;1AV;YES;02:11,6;1.72;1.62;0;0;0;0;0;02:17,0;2;2;;5.4;61.852
12;Recording051;3;8;1AV;YES;02:03,6;1.26;2;0.32;0.6;0;0;0;02:11,2;2;3;;7.6;55.0
13;Recording057;3;8;1AV;YES;02:29,3;0.38;1.42;1.42;0.24;0.234;0.18;0.14;02:35,3;3;7;5, 6 and 7 together;6.0;66.9
14;Recording061;3;8;1AV;YES;01:58,8;1.57;0.3;0;0;0;0;0;02:01,7;2;2;;2.9;64.483
15;Recording066;3;8;1AV;YES;02:34,4;2.6;0.28;0;0;0;0;0;02:38,4;2;2;;4.0;72.0
16;Recording070;3;8;1AV;YES;02:25,0;0.98;0.54;2.38;0.52;0.16;0;0;02:32,3;3;5;;7.3;62.74
17;Recording074;3;8;1AV;YES;02:16,6;1.12;1.54;0;0;0;0;0;02:20,6;2;2;;4.0;66.5
18;Recording080;3;8;1AV;YES;02:23,4;1;2.7;0.18;0;0;0;0;02:34,0;2;3;;10.6;36.604
18;Recording077;3;8;1AV;YES;02:02,9;0.46;2.3;1.38;1.98;0.34;0.44;0.26;02:33,6;2;8;;30.7;23.322
20;Recording084;3;8;1AV;YES;02:03,5;2.24;0;0;0;0;0;0;02:06,6;1;1;Not really fixing it (fixation is on the left on the road, but not on the pedestrian) + has long fixation times, but slowing down.;3.1;72.258
20;Recording081;3;8;1AV;YES;00:24,5;2.26;0.3;0;0;0;0;0;02:28,3;2;2;;123.8;2.068
21;Recording087;3;8;1AV;YES;02:14,6;0.82;2.16;0.1;0.18;0;0;0;02:19,9;4;4;3 and 4 together;5.3;61.509
22;Recording090;3;8;1AV;YES;02:19,2;0.54;0.76;1.16;0.46;0;0;0;02:25,7;3;4;;6.5;44.923
23;Recording095;3;8;1AV;YES;02:16,9;0.8;1.16;0.28;0;0;0;0;02:20,9;3;3;;4.0;56.0
24;Recording100;3;8;1AV;YES;02:16,0;0.72;1.52;0;0;0;0;0;02:19,7;2;2;;3.7;60.541
24;Recording097;3;8;1AV;YES;02:39,9;1.46;0;0;0;0;0;0;02:42,7;1;1;Offset on the data record (results might be less precise);2.8;52.143
25;Recording102;3;8;1AV;YES;02:13,6;1.5;0.84;0.5;0.4;0.46;0.12;0;02:22,5;3;3;5 and 6 together;8.9;42.921
27;Recording107;3;8;1AV;YES;02:20,9;1.28;0.4;0.3;0.24;0;0;0;02:24,7;3;4;;3.8;58.421
28;Recording110;3;8;1AV;YES;02:37,5;1.46;0.56;0.28;0;0;0;0;02:41,8;3;3;Offset on the data record (results might be less precise);4.3;53.488
29;Recording115;3;8;1AV;YES;02:14,2;1.76;0.68;0;0;0;0;0;02:18,7;2;2;;4.5;54.222
30;Recording120;3;8;1AV;YES;02:30,7;0.5;0.92;2.44;0.48;0.4;0;0;02:41,1;3;5;;10.4;45.577
30;Recording117;3;8;1AV;YES;02:45,6;0.2;1.18;0.7;0.3;0.46;0.24;0.42;02:59,3;3;8;;13.7;25.547
31;Recording123;3;8;1AV;YES;02:36,5;2.28;0.6;0;0;0;0;0;02:41,2;2;2;;4.7;61.277
33;Recording131;3;8;1AV;YES;02:19,8;1.94;2.16;0.24;0;0;0;0;02:26,0;2;2;;6.2;70.0
34;Recording135;3;8;1AV;YES;02:53,2;0.44;0.8;0.28;0.38;0.1;0;0;03:01,1;4;5;;7.9;25.316
36;Recording146;3;8;1AV;YES;02:27,7;1.12;0.38;1.56;0.38;0.18;0.18;0;02:35,9;3;6;;8.2;46.341
36;Recording143;3;8;1AV;YES;02:21,7;2.2;0.88;0.36;0.18;0;0;0;02:27,8;2;4;;6.1;59.344
38;Recording154;3;8;1AV;YES;02:45,6;2.881;1.62;0;0;0;0;0;02:54,4;2;2;;8.8;51.148
38;Recording151;3;8;1AV;YES;02:45,1;0.46;1.46;0.68;1.38;0.98;0;0;02:53,8;3;5;;8.7;57.011
39;Recording158;3;8;1AV;YES;02:12,7;1.12;3.06;0.2;0;0;0;0;02:22,8;3;3;;10.1;43.366
39;Recording155;3;8;1AV;YES;02:22,8;2.28;0.32;0;0;0;0;0;02:27,3;2;2;;4.5;57.778
40;Recording162;3;8;1AV;YES;03:09,5;0.84;1.44;1.16;0;0;0;0;03:17,2;2;3;;7.7;44.675
41;Recording167;3;8;1AV;YES;02:05,3;0.6;1.94;0;0;0;0;0;02:10,1;2;2;;4.8;52.917
42;Recording170;3;8;1AV;YES;02:29,1;2.06;0.46;1.36;0.5;0.2;0.6;0.14;02:37,3;3;7;;8.2;64.878
43;Recording177;3;8;1AV;YES;02:09,3;0.54;0.36;1.24;0;0;0;0;02:13,2;3;3;;3.9;54.872
44;Recording181;3;8;1AV;YES;04:00,1;0.82;0.36;1.42;0.38;0.2;0.44;0;04:07,7;5;6;;7.6;47.632
45;Recording186;3;8;1AV;YES;02:16,1;0.3;1.08;0.62;1.8;0.24;0;0;02:20,3;4;5;;4.2;96.19
46;Recording191;3;8;1AV;YES;02:20,6;1.237;0.28;0.52;0;0;0;0;02:25,1;3;3;;4.5;45.267
47;Recording194;3;8;1AV;YES;02:33,4;0.9;0.28;0.16;1.2;0;0;0;02:39,3;1;4;;5.9;43.051
48;Recording196;3;8;1AV;YES;02:08,8;3.71;0;0;0;0;0;0;02:14,8;1;1;;6.0;61.833
49;Recording202;3;8;1AV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;mesh not activated, but has seen it;0.0;0
49;Recording199;3;8;1AV;YES;02:14,7;2.32;0.8;0.14;0.32;0.86;1.04;0;02:24,9;1;6;;10.2;53.725
50;Recording204;3;8;1AV;YES;02:17,8;2.2;0.6;1.12;0.38;0;0;0;02:25,0;2;4;;7.2;59.722
51;Recording211;3;8;1AV;YES;02:18,9;1.26;1.54;0;0;0;0;0;02:22,9;2;2;;4.0;70.0
52;Recording215;3;8;1AV;YES;02:22,0;1.04;1.42;0.36;0;0;0;0;02:26,6;3;3;;4.6;61.304
52;Recording212;3;8;1AV;YES;02:27,0;1.96;0.36;0.96;0.44;0;0;0;02:33,7;4;4;;6.7;55.522
53;Recording218;3;8;1AV;YES;02:11,7;0.2;1.9;0;0;0;0;0;02:14,6;2;2;;2.9;72.414
54;Recording221;3;8;1AV;YES;02:17,8;0.68;0.3;1.46;0.16;1.44;0;0;02:28,3;3;5;;10.5;38.476
55;Recording228;3;8;1AV;YES;02:01,6;0.8;1.79;0;0;0;0;0;02:05,9;2;2;;4.3;60.233
55;Recording224;3;8;1AV;YES;02:04,3;2.86;0;0;0;0;0;0;02:08,4;1;1;;4.1;69.756
56;Recording230;3;8;1AV;YES;02:24,9;0.92;2.2;0.6;0;0;0;0;02:33,0;3;3;;8.1;45.926
57;Recording234;1;8;1AV;YES;02:43,7;0.9;0;0;0;0;0;0;02:47,0;1;1;;3.3;27.273
58;Recording238;2;8;1AV;YES;02:36,1;0.1;0.08;0.28;0.12;0;0;0;02:37,9;4;4;;1.8;32.222
59;Recording242;2;8;1AV;YES;02:08,5;0.28;0.1;0.86;0;0;0;0;02:10,8;3;3;;2.3;53.913
60;Recording246;3;8;1AV;YES;02:34,9;0.44;0.76;0.5;1.04;0.7;0.32;0;02:45,0;2;6;Note: looks at up mirror after 6th fixation.;10.1;37.228
61;Recording253;3;8;1AV;NO;02:31,1;2.82;0.44;0;0;0;0;0;02:37,0;1;2;bad quality, hard to guess;5.9;55.254
61;Recording249;3;8;1AV;YES;02:15,3;1.48;1.12;0.28;0.14;1;0.2;2.4;02:26,5;2;7;Offset on the data record (results might be less precise);11.2;59.107
62;Recording255;3;8;1AV;YES;02:03,7;1.08;1.14;0.2;0;0;0;0;02:07,4;3;3;;3.7;65.405
63;Recording260;3;8;1AV;YES;02:04,6;3;0.2;0.2;0;0;0;0;02:10,8;3;3;;6.2;54.839
64;Recording266;3;8;1AV;YES;02:18,9;2.88;0.18;0;0;0;0;0;02:23,5;2;2;;4.6;66.522
64;Recording262;3;8;1AV;YES;02:33,5;0.38;0.7;0.26;1.58;1.58;0.4;0;02:43,5;3;6;Note: looks at the breaks between 2nd and 3rd fixation and at the gear box between fifth and sixth. Might be interesting for y position.;10.0;49.0
65;Recording269;3;8;1AV;YES;02:41,9;1.68;1;0.98;0.44;0.56;0;0;02:49,6;3;5;The first three fixations are in a raw, the driver is adapting to the moving position, but looking somewhere else in between.;7.7;60.519
66;Recording272;3;8;1AV;YES;02:24,9;2.54;0.26;0;0;0;0;0;02:29,2;2;2;Buffer, so not sure if another small fixation in between;4.3;65.116
67;Recording279;3;8;1AV;YES;02:30,5;1.5;1.42;1.12;0.36;0;0;0;02:39,1;3;4;;8.6;51.163
67;Recording275;3;8;1AV;YES;02:13,7;1.48;0.5;0.32;0.52;0.54;0;0;02:23,8;2;5;;10.1;33.267
68;Recording281;3;8;1AV;YES;02:35,7;0.26;0.6;1.98;0.4;0.7;0.64;0;02:45,0;3;6;;9.3;49.247
69;Recording286;3;8;1AV;YES;02:15,0;1.52;0.36;0.14;0;0;0;0;02:19,1;3;3;;4.1;49.268
70;Recording291;3;8;1AV;YES;02:09,2;1.3;0.06;0.48;0;0;0;0;02:13,1;3;3;;3.9;47.179
70;Recording288;3;8;1AV;YES;02:34,1;1.76;0.44;0.76;0;0;0;0;02:44,5;3;3;;10.4;28.462
71;Recording294;3;8;1AV;YES;02:19,4;1.4;1.44;0;0;0;0;0;02:24,3;2;2;;4.9;57.959
