Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording009;3;6;2CH;YES;01:52,3;3.541;0.86;0;0;0;0;0;01:57,5;2;2;;5.2;84.635
2;Recording005;3;6;2CH;YES;02:05,7;0.4;0.16;0.36;0.08;0.08;0;0;02:11,1;5;5;No events ;5.4;20.0
4;Recording014;3;6;2CH;YES;01:32,5;3.301;0.18;0.84;0;0;0;0;01:37,9;3;3;;5.4;80.019
4;Recording011;3;6;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
5;Recording016;3;6;2CH;YES;01:28,5;0.08;0;0;0;0;0;0;01:31,3;1;1;;2.8;2.857
6;Recording033;3;6;2CH;YES;01:47,1;0.42;0.54;1.16;0.2;0;0;0;01:51,9;4;4;;4.8;48.333
6;Recording030;3;6;2CH;YES;01:57,5;0.56;0.46;0.54;0.16;0.12;0.1;0.1;02:04,1;7;7;;6.6;30.909
7;Recording036;3;6;2CH;YES;01:47,9;0.54;0.62;0.84;0.76;0.38;0;0;01:54,3;5;5;;6.4;49.062
8;Recording039;3;6;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
9;Recording044;3;6;2CH;YES;01:54,5;1.02;0.16;0.38;0;0;0;0;01:58,7;3;3;;4.2;37.143
11;Recording048;3;6;2CH;YES;01:46,8;1.62;0.9;0.02;0.88;0.06;0;0;01:53,2;5;5;;6.4;54.375
12;Recording054;3;6;2CH;YES;01:28,0;1.46;0.4;0.44;0.56;0;0;0;01:32,3;4;4;;4.3;66.512
12;Recording051;3;6;2CH;YES;01:25,3;0.72;0;0;0;0;0;0;01:29,2;1;1;;3.9;18.462
13;Recording057;3;6;2CH;YES;01:41,9;0.26;1.9;1.4;0;0;0;0;01:46,6;3;3;;4.7;75.745
14;Recording061;3;6;2CH;YES;01:18,5;0.8;0.64;0;0;0;0;0;01:22,8;2;2;;4.3;33.488
15;Recording066;3;6;2CH;YES;01:43,9;2.54;0.38;0;0;0;0;0;01:49,0;2;2;;5.1;57.255
16;Recording070;3;6;2CH;YES;01:39,7;0.92;0.22;0.44;0;0;0;0;01:43,5;3;3;;3.8;41.579
17;Recording074;3;6;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
18;Recording080;3;6;2CH;YES;01:33,5;0.78;0.26;0.54;0;0;0;0;01:39,7;3;3;;6.2;25.484
18;Recording077;3;6;2CH;YES;01:36,2;1.42;0;0;0;0;0;0;01:40,9;1;1;;4.7;30.213
20;Recording084;3;6;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
20;Recording081;3;6;2CH;YES;01:39,2;0.28;0.34;0;0;0;0;0;01:43,1;2;2;;3.9;15.897
21;Recording087;3;6;2CH;YES;01:30,6;0.68;0.76;0;0;0;0;0;01:34,1;2;2;;3.5;41.143
22;Recording090;3;6;2CH;YES;01:32,5;0.54;0.82;1;0.52;0.84;0;0;01:38,7;5;5;;6.2;60.0
23;Recording095;3;6;2CH;YES;01:30,4;0.78;0.8;0.36;0.56;0.7;0;0;01:36,5;5;5;;6.1;52.459
24;Recording100;3;6;2CH;YES;01:31,8;0.52;0.44;0.56;0;0;0;0;01:36,5;3;3;;4.7;32.34
24;Recording097;3;6;2CH;YES;01:50,9;0.84;0.36;0.28;1.1;0;0;0;01:56,2;4;4;;5.3;48.679
25;Recording102;3;6;2CH;YES;01:30,5;0.84;0;0;0;0;0;0;01:33,8;1;1;;3.3;25.455
27;Recording107;3;6;2CH;YES;01:36,1;1.36;0.54;0;0;0;0;0;01:41,4;2;2;;5.3;35.849
28;Recording110;3;6;2CH;YES;01:46,2;1.1;0.3;0.64;0;0;0;0;01:50,6;3;3;;4.4;46.364
29;Recording115;3;6;2CH;YES;01:30,2;0.7;2.76;0;0;0;0;0;01:36,4;2;2;;6.2;55.806
30;Recording120;3;6;2CH;YES;01:42,8;0.58;1.5;0.32;0.16;1.66;0;0;01:49,2;5;5;;6.4;65.938
30;Recording117;3;6;2CH;YES;01:56,9;0.54;0;0;0;0;0;0;01:58,0;1;1;;1.1;49.091
31;Recording123;3;6;2CH;YES;01:41,9;0.2;0.56;0;0;0;0;0;01:46,6;2;2;;4.7;16.17
33;Recording131;3;6;2CH;YES;01:34,8;0.68;1.18;0;0;0;0;0;01:40,2;2;2;;5.4;34.444
34;Recording135;3;6;2CH;YES;01:52,4;1.52;0.78;0.98;0.88;0.34;0;0;02:01,8;5;5;2, 3 and 4 are together;9.4;47.872
36;Recording146;3;6;2CH;YES;01:39,9;1.2;0.28;0.96;0;0;0;0;01:44,6;3;3;;4.7;51.915
36;Recording143;3;6;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
38;Recording154;3;6;2CH;YES;01:53,6;1.86;1.1;0;0;0;0;0;01:58,6;2;2;;5.0;59.2
38;Recording151;3;6;2CH;YES;01:49,8;0.34;0.12;0;0;0;0;0;01:54,0;2;2;he lost track of it;4.2;10.952
39;Recording158;3;6;2CH;YES;01:30,0;0.78;0.52;0.16;0.6;0;0;0;01:34,4;4;4;;4.4;46.818
39;Recording155;3;6;2CH;YES;01:41,2;1.12;0.22;0;0;0;0;0;01:44,3;2;2;;3.1;43.226
40;Recording162;3;6;2CH;YES;02:08,3;1.74;0.56;2.44;0;0;0;0;02:14,8;3;3;;6.5;72.923
41;Recording167;3;6;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;Looking on the other side mirror while crossing it;0.0;0
42;Recording170;3;6;2CH;YES;01:37,4;1.56;0.48;1.9;0;0;0;0;01:42,6;3;3;;5.2;75.769
43;Recording177;3;6;2CH;YES;01:22,9;2.12;1.06;0.4;0.16;0;0;0;01:28,1;4;4;3 and 4 together;5.2;71.923
44;Recording181;3;6;2CH;YES;03:04,0;3.201;1.8;0.36;0;0;0;0;03:10,2;3;3;;6.2;86.468
45;Recording186;3;6;2CH;YES;01:31,4;0.6;0.34;1.2;0.4;0;0;0;01:34,6;4;4;2, 3 and 4 together;3.2;79.375
46;Recording191;3;6;2CH;YES;01:26,5;0.28;1.8;0.92;0.5;0;0;0;01:33,9;3;4;;7.4;47.297
47;Recording194;3;6;2CH;YES;01:42,4;1.84;0.8;0.7;0;0;0;0;01:48,7;3;3;;6.3;53.016
48;Recording196;3;6;2CH;YES;01:29,1;1.32;1.7;0.22;0.7;0;0;0;01:34,4;4;4;1 and 2 together;5.3;74.34
49;Recording202;3;6;2CH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;mesh not activated, but has seen it;0.0;0
49;Recording199;3;6;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;was looking in the side mirrors;0.0;0
50;Recording204;3;6;2CH;YES;01:32,4;0.5;0;0;0;0;0;0;01:36,4;1;1;lost it ;4.0;12.5
51;Recording211;3;6;2CH;YES;01:34,5;0.92;0.64;0.2;0.88;0.12;0;0;01:39,0;5;5;;4.5;61.333
52;Recording215;3;6;2CH;YES;01:35,5;0.92;0.44;0.3;0.18;0.16;0;0;01:40,3;5;5;4 and 5 together;4.8;41.667
52;Recording212;3;6;2CH;YES;01:37,9;0.9;0.5;0.7;0;0;0;0;01:44,0;3;3;;6.1;34.426
53;Recording218;3;6;2CH;YES;01:30,8;0.42;0.48;0.66;0.22;0;0;0;01:33,9;4;4;;3.1;57.419
54;Recording221;3;6;2CH;YES;01:33,9;1.18;0.6;0.14;0;0;0;0;01:37,0;3;3;;3.1;61.935
55;Recording228;3;6;2CH;YES;01:17,8;0.72;0.56;0.52;0.78;0;0;0;01:22,7;4;4;;4.9;52.653
55;Recording224;3;6;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
56;Recording231;2;2;2CH;YES;00:41,9;0.52;3.401;0;0;0;0;0;00:47,0;2;2;;5.1;76.882
56;Recording230;3;6;2CH;YES;01:41,1;0.34;0;0;0;0;0;0;01:47,0;1;1;Saw it and forgot after;5.9;5.763
57;Recording235;3;2;2CH;YES;00:25,1;2.94;0;0;0;0;0;0;00:30,6;1;1;;5.5;53.455
57;Recording234;1;6;2CH;YES;02:19,5;1.54;0;0;0;0;0;0;02:22,0;1;1;;2.5;61.6
