Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording008;1;3;2AV;YES;01:22,3;0.42;0.48;1.58;0.36;3.24;0.54;0;01:32,8;5;6;;10.5;63.048
4;Recording012;1;3;2AV;YES;01:13,8;0.46;0.72;0.72;0.98;1.02;0;0;01:22,0;5;5;;8.2;47.561
5;Recording017;1;3;2AV;YES;01:12,2;2.06;2.4;0;0;0;0;0;01:17,4;2;2;;5.2;85.769
6;Recording032;1;3;2AV;YES;01:24,9;0.34;1.76;1.04;0;0;0;0;01:36,5;3;3;;11.6;27.069
7;Recording037;1;3;2AV;YES;01:23,2;0.58;0.72;0.4;0.26;0;0;0;01:28,2;4;4;;5.0;39.2
7;Recording034;1;3;2AV;YES;01:20,6;0.06;0.66;0.46;0.18;0.06;1.76;0.16;01:31,1;7;7;;10.5;31.81
8;Recording041;1;3;2AV;YES;01:08,8;0.78;0.9;3.521;0;0;0;0;01:17,4;3;3;;8.6;60.477
8;Recording038;1;3;2AV;YES;01:04,7;1.12;0.9;0.22;0.82;0.66;0.24;0;01:10,7;6;6;;6.0;66.0
9;Recording043;1;3;2AV;YES;01:09,4;1.38;1.2;0;0;0;0;0;01:15,0;2;2;;5.6;46.071
11;Recording049;1;3;2AV;YES;01:27,8;0.26;1.22;1.86;0.34;0;0;0;01:36,2;4;4;;8.4;43.81
12;Recording053;1;3;2AV;YES;01:05,0;0.7;0.28;0.64;0.2;1.58;0;0;01:13,2;5;5;;8.2;41.463
13;Recording058;1;3;2AV;YES;01:14,8;0.58;0.16;0.36;2.08;0.22;0;0;01:21,6;5;5;;6.8;50.0
13;Recording055;1;3;2AV;YES;01:10,6;1.06;0.14;2.12;0.28;0;0;0;01:17,6;4;4;;7.0;51.429
14;Recording063;1;3;2AV;YES;00:59,8;0.9;1.94;0.96;0;0;0;0;01:05,0;3;3;;5.2;73.077
14;Recording060;1;3;2AV;YES;00:56,6;1.96;1.5;0;0;0;0;0;01:01,6;2;2;;5.0;69.2
15;Recording067;1;3;2AV;YES;01:13,7;0.52;0.64;1.5;0;0;0;0;01:20,7;3;3;;7.0;38.0
16;Recording072;1;3;2AV;YES;01:03,7;0.24;0.3;1.54;0.5;1.82;0.28;0.08;01:13,1;5;8;;9.4;50.638
16;Recording069;1;3;2AV;YES;01:10,7;0.64;0.9;0.54;3.521;0.52;0;0;01:20,5;4;5;;9.8;62.459
17;Recording075;1;3;2AV;YES;01:11,1;0.84;0;0;0;0;0;0;01:13,4;1;1;;2.3;36.522
18;Recording079;1;3;2AV;YES;01:12,3;0.22;0.42;0.38;1.68;0;0;0;01:20,9;4;4;;8.6;31.395
20;Recording082;1;3;2AV;YES;01:03,9;0.64;0.98;0;0;0;0;0;01:09,2;2;2;;5.3;30.566
21;Recording088;1;3;2AV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
21;Recording085;1;3;2AV;YES;01:08,7;1.18;0.98;0;0;0;0;0;01:14,2;2;2;;5.5;39.273
22;Recording092;1;3;2AV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
22;Recording089;1;3;2AV;YES;01:20,6;0.5;0.9;0.56;2.521;0.2;0;0;01:28,5;4;5;;7.9;59.253
23;Recording094;1;3;2AV;YES;01:06,3;0.64;0.62;0.14;0.16;0.84;0.36;0;01:11,8;6;6;;5.5;50.182
24;Recording098;1;3;2AV;YES;01:21,2;0.54;0.54;0.26;1.16;0;0;0;01:28,9;4;4;;7.7;32.468
25;Recording103;1;3;2AV;YES;01:02,0;0.82;0.48;1.2;0;0;0;0;01:06,7;3;3;;4.7;53.191
27;Recording108;1;3;2AV;YES;01:07,4;0.34;1.38;0.22;0.66;0.16;0;0;01:13,3;5;5;;5.9;46.78
27;Recording105;1;3;2AV;YES;01:19,5;1.4;0.24;1.46;0;0;0;0;01:24,9;3;3;;5.4;57.407
28;Recording112;1;3;2AV;YES;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
28;Recording109;1;3;2AV;YES;01:03,9;0.76;1.98;0;0;0;0;0;01:10,1;2;2;;6.2;44.194
29;Recording114;1;3;2AV;YES;01:15,2;0.44;1.26;0;0;0;0;0;01:22,3;2;2;;7.1;23.944
30;Recording118;1;3;2AV;YES;01:22,0;0.52;1.56;1.64;0.52;0.34;0;0;01:36,1;3;5;;14.1;32.482
31;Recording124;1;3;2AV;YES;01:16,1;0.32;1.48;1.08;0;0;0;0;01:27,4;3;3;;11.3;25.487
33;Recording133;1;3;2AV;YES;01:16,8;0.18;0.32;0.16;1.44;0;0;0;01:23,3;4;4;offset;6.5;32.308
33;Recording129;1;3;2AV;YES;01:32,6;0.3;0.96;1.62;0;0;0;0;01:39,6;0;0;offset;7.0;41.143
34;Recording138;1;3;2AV;YES;01:28,0;0.74;0.3;0.6;0.2;0;0;0;01:36,1;4;4;;8.1;22.716
34;Recording134;1;3;2AV;YES;02:06,3;0.4;0.18;0.36;1.52;0.14;0;0;02:16,3;5;5;;10.0;26.0
36;Recording144;1;3;2AV;YES;01:09,1;0.9;0.58;2.16;0.34;0;0;0;01:20,4;3;4;;11.3;35.221
38;Recordnig153;1;3;2AV;YES;01:26,6;1;1.22;1.34;0.08;0;0;0;01:34,9;3;4;;8.3;43.855
39;Recording157;1;3;2AV;YES;01:13,0;0.559;0.14;0.84;0.22;1.9;0;0;01:23,3;5;5;;10.3;35.524
40;Recording161;1;3;2AV;YES;01:33,5;0.34;2.62;0.84;0.96;0;0;0;01:40,2;2;4;offset;6.7;71.045
41;Recording168;1;3;2AV;YES;00:58,6;0.24;1.5;0;0;0;0;0;01:07,4;2;2;;8.8;19.773
