Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording009;3;1;6CV;YES;00:34,9;0.96;0;0;0;0;0;0;00:37,6;1;1;;2.7;35.556
2;Recording005;3;1;6CV;YES;00:34,2;0.36;0;0;0;0;0;0;00:37,5;1;1;No events ;3.3;10.909
4;Recording014;3;1;6CV;YES;00:21,9;0.42;0;0;0;0;0;0;00:24,0;1;1;;2.1;20.0
4;Recording011;3;1;6CV;YES;00:27,8;0.22;0;0;0;0;0;0;00:28,9;1;1;paused recording before;1.1;20.0
5;Recording016;3;1;6CV;YES;00:19,8;0.4;0;0;0;0;0;0;00:21,0;1;1;a lot of offset !;1.2;33.333
6;Recording033;3;1;6CV;YES;00:31,5;0.146;0.556;0.16;0;0;0;0;00:34,5;3;3;;3.0;28.733
6;Recording030;3;1;6CV;YES;00:36,5;0.28;0.68;0;0;0;0;0;00:38,5;2;2;;2.0;48.0
7;Recording036;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;quite a lot of offset;0.0;0
8;Recording039;3;1;6CV;YES;00:25,8;1.16;0;0;0;0;0;0;00:28,0;1;1;;2.2;52.727
9;Recording044;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
11;Recording048;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
12;Recording054;3;1;6CV;YES;00:24,8;0.6;0;0;0;0;0;0;00:27,2;1;1;;2.4;25.0
12;Recording051;3;1;6CV;YES;00:27,7;0.16;0.2;0;0;0;0;0;00:28,4;2;2;;0.7;51.429
13;Recording057;3;1;6CV;YES;00:28,1;1.1;0.32;0.24;0;0;0;0;00:31,4;3;3;;3.3;50.303
14;Recording061;3;1;6CV;YES;00:21,6;0.6;0;0;0;0;0;0;00:22,7;1;1;;1.1;54.545
15;Recording066;3;1;6CV;YES;00:34,8;0.5;0;0;0;0;0;0;00:37,2;1;1;;2.4;20.833
16;Recording070;3;1;6CV;YES;00:20,8;1.1;0;0;0;0;0;0;00:23,0;1;1;;2.2;50.0
17;Recording074;3;1;6CV;YES;00:27,4;0.46;0;0;0;0;0;0;00:29,5;1;1;;2.1;21.905
18;Recording080;3;1;6CV;YES;00:24,5;1.86;0;0;0;0;0;0;00:27,6;1;1;;3.1;60.0
18;Recording077;3;1;6CV;YES;00:27,5;0.26;0.2;0;0;0;0;0;00:29,8;2;2;;2.3;20.0
20;Recording084;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
20;Recording081;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
21;Recording087;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
22;Recording090;3;1;6CV;YES;00:25,1;0.58;0;0;0;0;0;0;00:27,4;1;1;;2.3;25.217
23;Recording095;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
24;Recording100;3;1;6CV;YES;00:26,2;0.46;0;0;0;0;0;0;00:28,5;1;1;;2.3;20.0
24;Recording097;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;looking but no fixation;0.0;0
25;Recording102;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
27;Recording107;3;1;6CV;YES;00:28,4;0.44;0.6;0.22;0;0;0;0;00:30,6;3;3;;2.2;57.273
28;Recording110;3;1;6CV;YES;00:26,0;0.5;0;0;0;0;0;0;00:29,4;1;1;;3.4;14.706
29;Recording115;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
30;Recording120;3;1;6CV;YES;00:28,4;0.64;0;0;0;0;0;0;00:31,8;1;1;;3.4;18.824
30;Recording117;3;1;6CV;YES;00:36,9;0.6;0.1;0.1;0.26;0;0;0;00:40,6;4;4;hidden by screen jonction (lot of fixations);3.7;28.649
31;Recording123;3;1;6CV;YES;00:27,0;0.2;0.101;0.48;0;0;0;0;00:28,8;3;3;1, 2 and 3 together;1.8;43.389
33;Recording131;3;1;6CV;YES;00:28,7;0.82;0;0;0;0;0;0;00:38,4;1;1;;9.7;8.454
34;Recording135;3;1;6CV;YES;00:23,8;0.5;0;0;0;0;0;0;00:26,8;1;1;;3.0;16.667
36;Recording146;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
36;Recording143;3;1;6CV;YES;00:24,4;0.16;0.2;0;0;0;0;0;00:26,1;2;2;1 and 2 are together;1.7;21.176
38;Recording154;3;1;6CV;YES;00:30,0;0.54;0;0;0;0;0;0;00:33,0;1;1;;3.0;18.0
38;Recording151;3;1;6CV;YES;00:39,4;0.1;0.06;0;0;0;0;0;00:40,1;1;1;;0.7;22.857
39;Recording158;3;1;6CV;YES;00:18,6;0.96;0.3;0.2;0;0;0;0;00:22,0;3;3;;3.4;42.941
39;Recording155;3;1;6CV;YES;00:31,2;0.4;0.06;0;0;0;0;0;00:33,7;2;2;;2.5;18.4
40;Recording162;3;1;6CV;YES;00:33,2;0.48;0.44;0.52;0;0;0;0;00:38,2;3;3;;5.0;28.8
41;Recording167;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
42;Recording170;3;1;6CV;YES;00:29,5;1.12;0.08;0;0;0;0;0;00:31,9;2;2;;2.4;50.0
43;Recording177;3;1;6CV;YES;00:19,4;0.54;0.42;0;0;0;0;0;00:21,6;2;2;offset;2.2;43.636
44;Recording181;3;1;6CV;YES;01:32,4;0.56;0.06;0.3;0;0;0;0;01:35,7;3;3;;3.3;27.879
45;Recording186;3;1;6CV;YES;00:22,3;0.32;0.34;0;0;0;0;0;00:24,7;2;2;Pretty good quality;2.4;27.5
46;Recording191;3;1;6CV;YES;00:16,0;1.4;0;0;0;0;0;0;00:18,5;1;1;;2.5;56.0
47;Recording194;3;1;6CV;YES;00:29,4;0.56;0;0;0;0;0;0;00:31,7;1;1;;2.3;24.348
48;Recording196;3;1;6CV;YES;00:19,5;1.62;0.12;0.46;0.14;0;0;0;00:22,8;4;4;;3.3;70.909
49;Recording202;3;1;6CV;YES;00:18,8;0.34;0.36;0;0;0;0;0;00:20,9;2;2;1 and 2 together;2.1;33.333
49;Recording199;3;1;6CV;YES;00:18,0;0.28;0.34;0;0;0;0;0;00:20,1;2;2;;2.1;29.524
50;Recording204;3;1;6CV;YES;00:21,0;0.82;0;0;0;0;0;0;00:22,4;0;0;;1.4;58.571
51;Recording211;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
52;Recording215;3;1;6CV;YES;00:26,8;0.28;0.34;0.34;0.54;0;0;0;00:29,3;4;4;;2.5;60.0
52;Recording212;3;1;6CV;YES;00:28,5;0.9;0;0;0;0;0;0;00:30,1;1;1;;1.6;56.25
