Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
61;Recording253;3;2;4CH;YES;00:21,9;1.82;1.14;2.04;0;0;0;0;00:28,9;3;3;Offset on the data record (results might be less precise);7.0;71.429
61;Recording249;3;2;4CH;YES;00:21,8;1.22;0;0;0;0;0;0;00:23,2;1;1;;1.4;87.143
62;Recording255;3;2;4CH;YES;00:20,2;0.86;0.76;0;0;0;0;0;00:23,1;2;2;;2.9;55.862
63;Recording260;3;2;4CH;YES;00:19,4;0.68;1.24;0;0;0;0;0;00:22,6;2;2;;3.2;60.0
64;Recording266;3;2;4CH;YES;00:27,1;1;0;0;0;0;0;0;00:32,3;1;1;;5.2;19.231
64;Recording262;3;2;4CH;YES;00:37,5;1.54;0.2;0;0;0;0;0;00:41,0;2;2;;3.5;49.714
65;Recording269;3;2;4CH;YES;00:29,6;2.06;0.6;0.62;0;0;0;0;00:33,7;3;3;;4.1;80.0
66;Recording272;3;2;4CH;YES;00:24,3;0.88;0.76;0.94;0.6;0.74;0.16;0.16;00:29,8;7;7;Checking a lot on both sides of the street while driving;5.5;77.091
67;Recording279;3;2;4CH;YES;00:26,3;2.32;0.74;0;0;0;0;0;00:31,1;2;2;;4.8;63.75
67;Recording275;3;2;4CH;YES;00:26,0;2.16;0;0;0;0;0;0;00:29,1;1;1;;3.1;69.677
68;Recording281;3;2;4CH;YES;00:30,5;1.2;0.4;2.921;0.54;0;0;0;00:37,2;3;4;;6.7;75.537
69;Recording286;3;2;4CH;YES;00:25,4;1.56;0.06;0;0;0;0;0;00:27,4;2;2;;2.0;81.0
70;Recording291;3;2;4CH;YES;00:23,5;0.56;0.5;0;0;0;0;0;00:26,8;2;2;;3.3;32.121
70;Recording288;3;2;4CH;YES;00:40,3;0.44;0.72;0;0;0;0;0;00:43,9;2;2;;3.6;32.222
71;Recording294;3;2;4CH;YES;00:31,9;1.72;0.54;0.18;0;0;0;0;00:35,9;3;3;2 and 3 together;4.0;61.0
