Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
2;Recording007;2;4;5AV;YES;01:50,6;0.8;0;0;0;0;0;0;01:52,4;1;1;;1.8;44.444
4;Recording013;2;4;5AV;YES;01:23,6;0.18;0;0;0;0;0;0;01:25,0;1;1;;1.4;12.857
5;Recording019;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
5;Recording018;2;4;5AV;YES;01:31,6;0.4;0;0;0;0;0;0;01:34,0;1;1;;2.4;16.667
6;Recording031;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
7;Recording035;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
8;Recording040;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
9;Recording045;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
9;Recording042;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
11;Recording050;2;4;5AV;CRASH;01:49,5;0.58;0.18;0;0;0;0;0;01:52,9;2;2;Mesh are not activated;3.4;22.353
11;Recording047;2;4;5AV;YES;01:54,9;0.42;0.1;0.06;0.08;0;0;0;01:56,8;4;4;;1.9;34.737
12;Recording052;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
13;Recording056;2;4;5AV;YES;01:47,2;0.16;0.2;0;0;0;0;0;01:48,8;2;2;;1.6;22.5
14;Recording062;2;4;5AV;YES;01:16,4;0.42;0;0;0;0;0;0;01:17,4;1;1;;1.0;42.0
15;Recording068;2;4;5AV;YES;01:32,0;2.42;0;0;0;0;0;0;01:35,5;1;1;;3.5;69.143
15;Recording064;2;4;5AV;YES;01:58,9;0.34;0.62;0;0;0;0;0;02:00,7;2;2;;1.8;53.333
16;Recording071;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
17;Recording076;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
17;Recording073;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
18;Recording078;2;4;5AV;YES;01:46,4;0.6;0;0;0;0;0;0;01:47,4;1;1;;1.0;60.0
20;Recording083;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
21;Recording086;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
22;Recording091;2;4;5AV;YES;01:36,0;0.28;0;0;0;0;0;0;01:38,6;1;1;;2.6;10.769
23;Recording096;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
