Participant;Record_Name;Track;Nr;Type;Seen;First time;First_fix;Sec_fix;Third_fix;Fourth_fix;Fifth_fix;Sixth_fix;Sev_th;Cross event;"""detection until""";Nb_fix;Remark
53;Recording219;1;1;1AH;YES;00:16,5;0,3;2,901;0;0;0;0;0;00:22,4;2;2;some offset (ok)
53;Recording219;1;2;2CH;YES;00:43,0;0,58;0;0;0;0;0;0;00:44,0;1;1;saw at last minute
53;Recording219;1;3;2AV;YES;01:00,6;1,46;0;0;0;0;0;0;01:02,6;1;1;
53;Recording219;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
53;Recording219;1;5;1CV;YES;01:37,7;0,34;0,3;1,7;0;0;0;0;01:43,4;3;3;
53;Recording219;1;6;6AV;YES;01:48,3;1,38;0;0;0;0;0;0;01:50,0;1;1;
53;Recording219;1;7;4AH;YES;01:55,7;0,72;0,2;0,72;0;0;0;0;01:57,8;3;3;
53;Recording219;1;8;6CH;YES;02:06,9;0,64;0;0;0;0;0;0;02:07,9;1;1;
53;Recording218;3;1;6CV;YES;00:21,6;0,5;0;0;0;0;0;0;00:23,7;1;1;
53;Recording218;3;2;4CH;YES;00:25,6;2,1;0,44;0;0;0;0;0;00:29,4;2;2;
53;Recording218;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
53;Recording218;3;4;4AV;YES;00:58,3;0,36;0,52;1,12;1,6;0;0;0;01:05,4;4;4;
53;Recording218;3;5;5CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
53;Recording218;3;6;2CH;YES;01:30,8;0,42;0,48;0,66;0,22;0;0;0;01:33,9;4;4;
53;Recording218;3;7;3CV;YES;01:48,9;2,44;1,76;0;0;0;0;0;01:53,4;2;2;
53;Recording218;3;8;1AV;YES;02:11,7;0,2;1,9;0;0;0;0;0;02:14,6;2;2;
53;Recording217;2;1;1CH;YES;00:26,3;0,36;0,22;1,26;0;0;0;0;00:30,9;3;3;
53;Recording217;2;2;2AH;YES;00:49,4;0,2;0,58;0,44;1,936;0;0;0;00:55,7;4;4;
53;Recording217;2;3;4CV;YES;01:11,4;0,76;0,42;0,4;0,72;0,28;0,22;0;01:17,6;6;6;
53;Recording217;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;look close to it on the road, but not fix on it
53;Recording217;2;5;3AV;YES;01:39,8;1,98;0,1;0,48;0,36;0,18;1,4;0;01:47,0;6;6;
53;Recording217;2;6;3AH;YES;01:58,3;0,16;0,42;0,66;0,84;1,5;0;0;02:05,2;5;5;
53;Recording217;2;7;2CV;YES;02:12,9;1,44;2,06;0;0;0;0;0;02:17,8;2;2;
53;Recording217;2;8;6AH;YES;02:28,6;0,38;0;0;0;0;0;0;02:29,4;1;1;
53;Recording216;1;1;1AH;YES;00:31,2;0,68;0,6;0,24;0,52;0;0;0;00:34,6;4;4;
53;Recording216;1;2;2CH;YES;00:54,8;0,62;0,24;0,2;2,02;0;0;0;01:00,5;4;4;
53;Recording216;1;3;2AV;YES;01:16,4;0,48;0,26;0,12;0,38;0,14;0;0;01:22,7;5;5;
53;Recording216;1;4;5CV;YES;01:43,2;0,28;0,22;0;0;0;0;0;01:45,5;2;2;
53;Recording216;1;5;1CV;YES;02:01,2;0,32;0,16;1,04;0,38;0,12;0,86;0;02:06,9;6;6;
53;Recording216;1;6;6AV;YES;02:12,7;1,3;0;0;0;0;0;0;02:14,9;1;1;
53;Recording216;1;7;4AH;YES;02:21,2;0,42;0,34;0;0;0;0;0;02:24,3;2;2;
53;Recording216;1;8;6CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
