Participant;Record_Name;Track;Nr;Type;Seen;First time;First_fix;Sec_fix;Third_fix;Fourth_fix;Fifth_fix;Sixth_fix;Sev_th;Cross event;"""detection until""";Nb_fix;Remark
66;Recording274;2;1;1CH;YES;00:17,8;5,121;0,84;0;0;0;0;0;00:24,8;2;2;
66;Recording274;2;2;2AH;YES;00:45,0;0,28;2,06;0;0;0;0;0;00:48,0;2;2;
66;Recording274;2;3;4CV;YES;01:02,7;2,1;1,18;0,12;0;0;0;0;01:08,3;3;3;
66;Recording274;2;4;5AV;YES;01:24,0;0,28;0,38;0;0;0;0;0;01:27,8;2;2;
66;Recording274;2;5;3AV;YES;01:30,3;0,44;3,741;0,46;0,06;0;0;0;01:35,3;4;4;
66;Recording274;2;6;3AH;YES;01:47,2;4,301;0,94;0,72;0;0;0;0;01:54,1;3;3;
66;Recording274;2;7;2CV;YES;02:03,2;4,601;0;0;0;0;0;0;02:08,4;1;1;
66;Recording274;2;8;6AH;YES;02:20,1;0,52;0;0;0;0;0;0;02:21,2;1;1;
66;Recording273;1;1;1AH;YES;00:21,4;3,181;1,58;0,58;0,18;0;0;0;00:28,8;4;4;
66;Recording273;1;2;2CH;YES;00:47,4;0,42;0,62;0,68;1,38;0;0;0;00:54,9;4;4;
66;Recording273;1;3;2AV;YES;01:10,1;0,84;2,64;0,54;0;0;0;0;01:18,1;3;3;
66;Recording273;1;4;5CV;YES;01:35,3;0,28;0;0;0;0;0;0;01:40,3;1;1;Looked long in advance, once
66;Recording273;1;5;1CV;YES;01:57,1;4,181;0;0;0;0;0;0;02:02,5;1;1;
66;Recording273;1;6;6AV;YES;02:08,3;1,36;0;0;0;0;0;0;02:10,3;1;1;
66;Recording273;1;7;4AH;YES;02:16,9;1,78;0;0;0;0;0;0;02:19,7;1;1;
66;Recording273;1;8;6CH;YES;02:28,8;0,6;0,6;0,16;0;0;0;0;02:31,4;3;3;
66;Recording272;3;1;6CV;YES;00:20,2;1,6;0;0;0;0;0;0;00:23,2;0;0;
66;Recording272;3;2;4CH;YES;00:24,3;0,88;0,76;0,94;0,6;0,74;0,16;0,16;00:29,8;7;7;Checking a lot on both sides of the street while driving
66;Recording272;3;3;5AH;YES;00:43,9;1,02;0,16;0,22;0,12;0;0;0;00:45,8;4;4;
66;Recording272;3;4;4AV;YES;01:03,2;1,46;0,74;0,36;0,12;0,38;0;0;01:08,5;5;5;
66;Recording272;3;5;5CH;YES;01:15,7;0,56;1,96;0,48;0,32;0;0;0;01:19,6;4;4;Try to look behind the bus and then after the bus
66;Recording272;3;6;2CH;YES;01:38,3;0,4;0,7;0,5;0,34;1,22;0;0;01:44,0;5;5;
66;Recording272;3;7;3CV;YES;02:01,4;2,24;1,62;0,54;0;0;0;0;02:06,5;0;0;
66;Recording272;3;8;1AV;YES;02:24,9;2,54;0,26;0;0;0;0;0;02:29,2;2;2;Buffer, so not sure if another small fixation in between
66;Recording271;2;1;1CH;YES;00:28,2;2,76;0,5;0;0;0;0;0;00:33,7;2;2;
66;Recording271;2;2;2AH;YES;00:58,9;2,062;0;0;0;0;0;0;01:01,7;1;1;
66;Recording271;2;3;4CV;YES;01:18,9;0,44;0,2;2,84;0,54;0;0;0;01:24,3;4;4;
66;Recording271;2;4;5AV;YES;01:42,0;0,4;0;0;0;0;0;0;01:46,0;1;1;
66;Recording271;2;5;3AV;YES;01:48,5;0,6;2,4;0,2;0,18;0;0;0;01:53,2;4;4;3 and 4 together
66;Recording271;2;6;3AH;YES;02:01,4;1,28;3,381;0,18;1,12;0;0;0;02:09,4;4;4;
66;Recording271;2;7;2CV;YES;02:17,8;4,164;0;0;0;0;0;0;02:22,7;1;1;
66;Recording271;2;8;6AH;YES;02:33,4;1,14;0;0;0;0;0;0;02:35,2;1;1;
