Participant;Record_Name;Track;Nr;Type;Seen;First time;First_fix;Sec_fix;Third_fix;Fourth_fix;Fifth_fix;Sixth_fix;Sev_th;Cross event;"""detection until""";Nb_fix;Remark
33;Recording133;1;1;1AH;YES;00:32,4;0,24;0,96;2,16;0;0;0;0;00:38,1;3;3;offset
33;Recording133;1;2;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;offset
33;Recording133;1;3;2AV;YES;01:16,8;0,18;0,32;0,16;1,44;0;0;0;01:23,3;4;4;offset
33;Recording133;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;offset
33;Recording133;1;5;1CV;YES;02:03,2;2,9;0;0;0;0;0;0;02:07,4;1;1;offset
33;Recording133;1;6;6AV;YES;02:12,7;1,96;0;0;0;0;0;0;02:14,9;1;1;offset
33;Recording133;1;7;4AH;YES;02:21,8;2,3;0;0;0;0;0;0;02:24,8;1;1;offset
33;Recording133;1;8;6CH;YES;02:34,8;0,3;0;0;0;0;0;0;02:35,3;1;1;offset + hard to see due to the two screens
33;Recording131;3;1;6CV;YES;00:28,7;0,82;0;0;0;0;0;0;00:38,4;1;1;
33;Recording131;3;2;4CH;YES;00:33,7;1,2;0,28;0,78;0;0;0;0;00:35,5;3;3;
33;Recording131;3;3;5AH;YES;00:48,6;0,92;0;0;0;0;0;0;00:49,5;1;1;
33;Recording131;3;4;4AV;YES;01:04,8;0,68;2,16;0;0;0;0;0;01:08,3;2;2;
33;Recording131;3;5;5CH;YES;01:17,7;0,94;0;0;0;0;0;0;01:19,0;1;1;
33;Recording131;3;6;2CH;YES;01:34,8;0,68;1,18;0;0;0;0;0;01:40,2;2;2;
33;Recording131;3;7;3CV;YES;01:58,7;1,96;0,8;0;0;0;0;0;02:00,1;1;1;
33;Recording131;3;8;1AV;YES;02:19,8;1,94;2,16;0,24;0;0;0;0;02:26,0;2;2;
33;Recording130;2;1;1CH;YES;00:21,9;1,2;2;0;0;0;0;0;00:26,5;2;2;
33;Recording130;2;2;2AH;YES;00:43,0;0,4;0,74;1,56;0;0;0;0;00:50,4;3;3;
33;Recording130;2;3;4CV;YES;01:05,9;1,76;2,36;0;0;0;0;0;01:11,7;2;2;
33;Recording130;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
33;Recording130;2;5;3AV;YES;01:36,8;2,481;0,32;0,36;0;0;0;0;01:40,2;3;3;2 and 3 together
33;Recording130;2;6;3AH;YES;01:52,6;0,98;1,86;1,76;0;0;0;0;01:57,6;3;3;
33;Recording130;2;7;2CV;YES;02:06,5;0,22;2,26;0,48;0;0;0;0;02:12,5;3;3;
33;Recording130;2;8;6AH;YES;02:23,5;0,58;0,58;0;0;0;0;0;02:24,9;2;2;
33;Recording129;1;1;1AH;YES;00:46,7;2,8;0;0;0;0;0;0;00:51,3;1;1;offset
33;Recording129;1;2;2CH;YES;01:14,5;2,841;0,18;0;0;0;0;0;01:17,7;2;2;offset
33;Recording129;1;3;2AV;YES;01:32,6;0,3;0,96;1,62;0;0;0;0;01:39,6;0;0;offset
33;Recording129;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;offset
33;Recording129;1;5;1CV;YES;02:19,1;4,12;0;0;0;0;0;0;02:24,1;1;1;offset
33;Recording129;1;6;6AV;YES;02:30,4;1,68;0;0;0;0;0;0;02:32,4;1;1;offset
33;Recording129;1;7;4AH;YES;02:38,9;3,5;0;0;0;0;0;0;02:42,4;1;1;offset
33;Recording129;1;8;6CH;YES;02:51,7;1,08;0,16;0;0;0;0;0;02:53,3;2;2;offset
