Participant;Record_Name;Track;Nr;Type;Seen;First time;First_fix;Sec_fix;Third_fix;Fourth_fix;Fifth_fix;Sixth_fix;Sev_th;Cross event;"""detection until""";Nb_fix;Remark
70;Recording291;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;Offset
70;Recording291;3;2;4CH;YES;00:23,5;0,56;0,5;0;0;0;0;0;00:26,8;2;2;
70;Recording291;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
70;Recording291;3;4;4AV;YES;00:55,8;0,44;0,58;0;0;0;0;0;00:59,2;2;2;
70;Recording291;3;5;5CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
70;Recording291;3;6;2CH;YES;01:22,9;2,12;0,3;0;0;0;0;0;01:28,3;2;2;
70;Recording291;3;7;3CV;YES;01:43,9;0,6;0,62;0,42;0,4;0,4;0,08;0;01:49,5;5;5;2 and 3 together
70;Recording291;3;8;1AV;YES;02:09,2;1,3;0,06;0,48;0;0;0;0;02:13,1;3;3;
70;Recording290;1;1;1AH;YES;00:18,6;1,64;0;0;0;0;0;0;00:22,0;1;1;some offset
70;Recording290;1;2;2CH;YES;00:41,9;0,44;1,24;0,4;0,72;0,86;0;0;00:48,1;5;5;
70;Recording290;1;3;2AV;YES;01:02,7;0,96;0,14;0,18;0,78;0,96;0;0;01:08,9;5;5;
70;Recording290;1;4;5CV;YES;01:26,9;0,46;0;0;0;0;0;0;01:29,9;1;1;
70;Recording290;1;5;1CV;YES;01:49,0;0,16;0,06;0,18;1,16;0,22;0;0;01:53,0;5;5;1, 2 and 3 together
70;Recording290;1;6;6AV;YES;02:00,3;0,08;0;0;0;0;0;0;02:00,9;1;1;hard to see
70;Recording290;1;7;4AH;YES;02:06,9;1,54;0,8;0,3;0;0;0;0;02:10,3;3;3;
70;Recording290;1;8;6CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
70;Recording289;2;1;1CH;YES;00:19,3;0,82;0,6;0;0;0;0;0;00:23,6;2;2;
70;Recording289;2;2;2AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
70;Recording289;2;3;4CV;YES;01:06,2;0,46;0,54;0,5;0;0;0;0;01:10,5;3;3;
70;Recording289;2;4;5AV;YES;01:30,6;0,38;0;0;0;0;0;0;01:34,3;1;1;
70;Recording289;2;5;3AV;YES;01:36,5;0,26;0,96;0;0;0;0;0;01:41,6;2;2;
70;Recording289;2;6;3AH;YES;01:54,3;1,18;0,82;0,44;0,1;0,1;0;0;01:59,5;5;5;4 and 5 together
70;Recording289;2;7;2CV;YES;02:06,6;0,76;0,64;0,32;2,3;0;0;0;02:13,4;4;4;
70;Recording289;2;8;6AH;YES;02:26,6;0,06;0;0;0;0;0;0;02:27,3;1;1;
70;Recording288;3;1;6CV;YES;00:34,1;0,2;0;0;0;0;0;0;00:36,7;1;1;
70;Recording288;3;2;4CH;YES;00:40,3;0,44;0,72;0;0;0;0;0;00:43,9;2;2;
70;Recording288;3;3;5AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
70;Recording288;3;4;4AV;YES;01:15,0;3,041;0;0;0;0;0;0;01:20,2;1;1;
70;Recording288;3;5;5CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
70;Recording288;3;6;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
70;Recording288;3;7;3CV;YES;02:06,9;1,66;0,92;0;0;0;0;0;02:13,8;2;2;
70;Recording288;3;8;1AV;YES;02:34,1;1,76;0,44;0,76;0;0;0;0;02:44,5;3;3;
