Participant;Record_Name;Track;Nr;Type;Seen;First time;First_fix;Sec_fix;Third_fix;Fourth_fix;Fifth_fix;Sixth_fix;Sev_th;Cross event;"""detection until""";Nb_fix;Remark
44;Recording183;1;1;1AH;YES;00:27,7;1,02;0,62;1,7;0,22;1,44;0;0;00:36,0;5;5;average quality
44;Recording183;1;2;2CH;YES;01:02,5;0,14;0;0;0;0;0;0;01:05,2;1;1;didn't do a fixation on it, but saw it since he was not surprised
44;Recording183;1;3;2AV;YES;01:23,0;0,26;0,4;1,98;0,8;0,34;0;0;01:31,4;5;5;slow down, but not too much
44;Recording183;1;4;5CV;YES;01:54,9;0,14;0,4;0;0;0;0;0;01:59,2;2;2;
44;Recording183;1;5;1CV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
44;Recording183;1;6;6AV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
44;Recording183;1;7;4AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
44;Recording183;1;8;6CH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
44;Recording182;2;1;1CH;YES;00:24,9;0,52;1,18;1,56;0,16;0,2;0,34;0;00:34,4;3;6;
44;Recording182;2;2;2AH;YES;00:55,7;0,42;2,04;1,9;0;0;0;0;01:04,9;3;3;
44;Recording182;2;3;4CV;YES;01:24,6;0,64;0,56;1,12;0,74;0,12;0;0;01:31,4;3;5;
44;Recording182;2;4;5AV;YES;01:54,8;0,62;0,14;0,44;0,1;0,06;0,5;0;01:59,5;6;6;
44;Recording182;2;5;3AV;YES;02:01,5;1,16;3,401;0,54;0;0;0;0;02:08,7;3;3;
44;Recording182;2;6;3AH;YES;02:19,7;0,66;0,72;2,58;1,9;1,18;0;0;02:28,8;5;5;
44;Recording182;2;7;2CV;YES;02:39,2;0,48;2,56;0,88;0,96;0,54;0,24;0;02:46,6;6;6;
44;Recording182;2;8;6AH;YES;02:59,6;1,28;0;0;0;0;0;0;03:02,3;1;1;
44;Recording181;3;1;6CV;YES;01:32,4;0,56;0,06;0,3;0;0;0;0;01:35,7;3;3;
44;Recording181;3;2;4CH;YES;01:36,4;0,28;0,04;0,94;0,32;0,2;0;0;01:43,9;5;5;
44;Recording181;3;3;5AH;YES;01:56,3;0,86;0,52;1,24;0,2;0,2;0;0;02:03,2;5;5;look at bus stop, along the bus and after the bus
44;Recording181;3;4;4AV;YES;02:18,2;0,84;0,38;0,36;1,24;0,74;0,66;1,3;02:27,9;7;7;
44;Recording181;3;5;5CH;YES;02:35,7;0,48;0,42;0,48;0,46;0;0;0;02:41,8;4;4;look at bus stop, along the bus and after the bus
44;Recording181;3;6;2CH;YES;03:04,0;3,201;1,8;0,36;0;0;0;0;03:10,2;3;3;
44;Recording181;3;7;3CV;YES;03:26,6;0,26;3,261;0,08;2,02;0,56;0,32;0,08;03:36,1;7;7;
44;Recording181;3;8;1AV;YES;04:00,1;0,82;0,36;1,42;0,38;0,2;0,44;0;04:07,7;5;6;
44;Recording179;1;1;1AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;no side screens
44;Recording179;1;2;2CH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
44;Recording179;1;3;2AV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
44;Recording179;1;4;5CV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
44;Recording179;1;5;1CV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
44;Recording179;1;6;6AV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
44;Recording179;1;7;4AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
44;Recording179;1;8;6CH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
