Participant;Record_Name;Track;Nr;Type;Seen;First time;First_fix;Sec_fix;Third_fix;Fourth_fix;Fifth_fix;Sixth_fix;Sev_th;Cross event;"""detection until""";Nb_fix;Remark
58;Recording240;3;1;1CH;YES;00:15,2;0,96;0;0;0;0;0;0;00:16,9;1;1;offset
58;Recording240;3;2;2AH;YES;00:16,6;0,36;1,26;0;0;0;0;0;00:22,4;2;2;
58;Recording240;3;3;4CV;YES;00:34,2;1,6;0,26;0;0;0;0;0;00:36,2;2;2;
58;Recording240;3;4;5AV;YES;00:53,2;0,78;0,8;0,96;0;0;0;0;00:57,3;3;3;
58;Recording240;3;5;3AV;YES;01:06,9;0,38;0,32;0;0;0;0;0;01:07,6;2;2;
58;Recording240;3;6;3AH;YES;01:28,8;1,18;1,16;0;0;0;0;0;01:32,3;2;2;
58;Recording240;3;7;2CV;YES;01:48,8;0,18;0,36;0,6;0,08;0;0;0;01:53,5;4;4;
58;Recording240;3;8;6AH;YES;02:11,8;0,66;1,4;0,54;0,34;0,24;0,14;0;02:23,9;2;6;Hard to distinguish which ones are on the hazard (poor quality) 
58;Recording239;1;1;1AH;YES;00:14,7;1,12;3,021;0,86;0;0;0;0;00:21,9;2;3;
58;Recording239;1;2;2CH;YES;00:39,8;4,541;0,6;0,66;0;0;0;0;00:46,5;3;3;
58;Recording239;1;3;2AV;YES;01:06,1;1,86;0,16;0,4;0;0;0;0;01:10,1;3;3;2 and 3 together
58;Recording239;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
58;Recording239;1;5;1CV;YES;01:50,2;0,38;0,6;2,86;0,46;0;0;0;01:57,4;4;4;
58;Recording239;1;6;6AV;YES;02:03,9;0,18;0,1;0,92;0,22;0,1;0,1;0;02:06,3;6;6;
58;Recording239;1;7;4AH;YES;02:16,3;0,18;0;0;0;0;0;0;02:16,9;1;1;was looking at the truck but not at the guy, saw it at the last moment
58;Recording239;1;8;6CH;YES;02:26,3;0,52;0,26;0;0;0;0;0;02:27,4;2;2;
58;Recording238;2;1;6CV;YES;00:18,9;0,36;1;1,7;0;0;0;0;00:24,6;3;3;offset
58;Recording238;2;2;4CH;YES;00:44,8;0,5;0,66;1,24;0;0;0;0;00:49,8;3;3;
58;Recording238;2;3;5AH;YES;01:08,4;0,76;0,52;0,58;1,489;0;0;0;01:13,8;4;4;
58;Recording238;2;4;4AV;YES;01:32,8;1,88;0;0;0;0;0;0;01:36,5;1;1;
58;Recording238;2;5;5CH;YES;01:37,8;1,66;4,041;0,64;0;0;0;0;01:45,3;2;3;
58;Recording238;2;6;2CH;YES;02:02,5;0,52;1,54;0,2;0,2;0,18;0,14;0;02:05,3;6;6;2, 3 and 4 together
58;Recording238;2;7;3CV;YES;02:13,6;3,501;0,54;0,72;0,42;0,08;0,24;0;02:23,2;3;6;
58;Recording238;2;8;1AV;YES;02:36,1;0,1;0,08;0,28;0,12;0;0;0;02:37,9;4;4;
58;Recording237;3;1;1CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;good quality
58;Recording237;3;2;2AH;YES;00:16,9;0,28;1,18;0,5;0;0;0;0;00:20,5;3;3;
58;Recording237;3;3;4CV;YES;00:33,2;0,44;0,18;0,44;0,28;0;0;0;00:35,1;4;4;
58;Recording237;3;4;5AV;YES;00:51,6;1,64;0,2;0,1;0;0;0;0;00:53,9;3;3;
58;Recording237;3;5;3AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
58;Recording237;3;6;3AH;YES;01:19,8;0,94;0,28;0,48;0;0;0;0;01:23,2;3;3;
58;Recording237;3;7;2CV;YES;01:37,0;1,68;0,86;0;0;0;0;0;01:44,3;2;2;
58;Recording237;3;8;6AH;YES;02:02,5;0,36;1,44;0,6;0,1;0,4;0,44;0,38;02:18,1;3;7;Actually more than 5 (but not interesting, waiting to cross)
