Participant;Record_Name;Track;Nr;Type;Seen;First time;First_fix;Sec_fix;Third_fix;Fourth_fix;Fifth_fix;Sixth_fix;Sev_th;Cross event;"""detection until""";Nb_fix;Remark
51;Recording211;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
51;Recording211;3;2;4CH;YES;00:35,4;2,32;0,66;0;0;0;0;0;00:40,0;2;2;
51;Recording211;3;3;5AH;YES;00:51,2;0,46;0;0;0;0;0;0;00:52,8;1;1;look on  side of bus
51;Recording211;3;4;4AV;YES;01:04,6;2,3;1,46;0,3;0,34;0;0;0;01:09,9;4;4;
51;Recording211;3;5;5CH;YES;01:16,4;0,876;0,38;0;0;0;0;0;01:18,6;2;2;
51;Recording211;3;6;2CH;YES;01:34,5;0,92;0,64;0,2;0,88;0,12;0;0;01:39,0;5;5;
51;Recording211;3;7;3CV;YES;01:53,6;2,22;3,261;0;0;0;0;0;01:59,8;2;2;
51;Recording211;3;8;1AV;YES;02:18,9;1,26;1,54;0;0;0;0;0;02:22,9;2;2;
51;Recording210;2;1;1CH;YES;00:31,8;1,12;0,26;1,44;0;0;0;0;00:37,4;3;3;
51;Recording210;2;2;2AH;YES;00:56,7;0,46;1,86;0;0;0;0;0;01:00,9;2;2;
51;Recording210;2;3;4CV;YES;01:14,9;2,08;2,48;1,941;0;0;0;0;01:22,2;3;3;
51;Recording210;2;4;5AV;YES;01:37,9;0,5;0;0;0;0;0;0;01:42,4;1;1;looked in advance, not when in front
51;Recording210;2;5;3AV;YES;01:42,0;0,68;0,58;0,88;0,8;0,24;0,14;0,38;01:49,4;7;7;
51;Recording210;2;6;3AH;YES;02:01,2;0,54;0,98;1;0,02;0;0;0;02:05,3;4;4;
51;Recording210;2;7;2CV;YES;02:12,0;2,4;1,72;0,2;0;0;0;0;02:17,5;3;3;
51;Recording210;2;8;6AH;YES;02:26,9;1,02;0,92;0;0;0;0;0;02:29,7;2;2;
51;Recording208;1;1;1AH;YES;00:36,3;0,96;0;0;0;0;0;0;00:38,3;1;1;some offset
51;Recording208;1;2;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;offset + looking close to cars = unsure result (looks like he didn't see it)
51;Recording208;1;3;2AV;YES;01:19,0;1,06;1,04;0;0;0;0;0;01:23,6;2;2;
51;Recording208;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
51;Recording208;1;5;1CV;YES;02:00,7;3,281;0;0;0;0;0;0;02:04,7;1;1;
51;Recording208;1;6;6AV;YES;02:10,5;1,2;0,44;0;0;0;0;0;02:12,4;2;2;
51;Recording208;1;7;4AH;YES;02:20,0;2;0;0;0;0;0;0;02:21,7;1;1;
51;Recording208;1;8;6CH;YES;02:31,2;0,44;0;0;0;0;0;0;02:32,2;1;1;
51;Recording207;2;1;1CH;YES;00:35,9;0,4;0,74;0;0;0;0;0;00:40,2;2;2;offset + fixations a bit everywhere on the screen (strange)
51;Recording207;2;2;2AH;YES;01:03,0;1,42;0;0;0;0;0;0;01:04,6;1;1;
51;Recording207;2;3;4CV;YES;01:21,4;0,32;0;0;0;0;0;0;01:25,9;1;1;lot of offset
51;Recording207;2;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;
51;Recording207;2;5;3AV;YES;01:51,4;2,12;0,92;0,3;0;0;0;0;01:54,9;3;3;
51;Recording207;2;6;3AH;YES;02:04,2;1,72;1,42;0,46;0,46;0,78;0,38;0;02:10,8;6;6;offset is good now
51;Recording207;2;7;2CV;YES;02:18,0;0,26;1,72;1,3;0,2;0,52;0;0;02:23,6;5;5;
51;Recording207;2;8;6AH;YES;02:32,5;0,74;1,08;0;0;0;0;0;02:35,4;2;2;
